Sr No,College Name,CollegeUrl,Email,Address,Contact No,TPO Name,TPO Number
135,Aldel Education Trust's St. John College of Engineering & Management   Vevoor   Palghar,www.sjcem.edu.in,office@sjcem.edu.in,St. John Technical Education Complex   Village Vevoor  Manor Road  Palghar (E),297275,,
136,Koti Vidya Charitable Trust's  Smt. Alamuri Ratnamala Institute of Engineering and Technology    Sapgaon   Tal. Shahapur,www.armiet.com,registrar@armiet.com,Sapgaon   Taluka Shahapur  Dist. Thane,40244310,,
137,Saraswati Education Society   Yadavrao Tasgaonkar College of Engineering and Management   Nasarapur   Chandai   Karjat,www.tasgaonkartech.com,sesytcem@gmail.com,Chandhai   Neral - Kadav Raod   Post Nasrapur   Taluka Karjat   Dist. Raigad,321524,,
138,Late Shri. Vishnu Waman Thakur Charitable Trust   Viva Institute of Technology   Shirgaon,www.viva-technology.org,principalvit@vivacollege.org,Shirgaon   At. Post Virar   Tal. Vasai. Thane ,7770002544,,
139,Haji Jamaluddin Thim Trust's Theem College of Engineering   At. Villege Betegaon   Boisar,www.theemcoe.org,info@theemcoe.org,At Village Betegaon  Boisar Chillhar Road    Near Union Park    Boisar(E)   Tal: Palghar  ,284909,,
140,Mahatma Education Society's Pillai HOC College of Engineering & Technology   Tal. Khalapur. Dist. Raigad,www.phcet.ac.in,pragneshshah@mes.ac.in, Pillai HOCL Educational,,,
,,,,,,,
Campus   Rasayani   Tal. Khalapur. Dist. Raisad-,669000,,,,,,
141,Leela Education Society   G.V. Acharya Institute of Engineering and Technology   Shelu   Karjat,www.leelaeducationsociety.org,principalgvaiet@yahoo.com,Shelu/Damat Village   (Opp. Shelu Rly Station)   Tal. Karjat. Dist. Raigad,229628,,
142,Saraswathi Vidya Bhavan's College of Pharmacy   Dombivli,www.svbpharmacy.org,svbcop@nessvb.net,Shankaranagar   Shilpada Road   Dombivali (E)   Dist : Thane ,8976545161,,
143,Mumbai Educational  Trust's Institute of Pharmacy   Mumbai,www.met.edu,degree_iop@met.edu,General Arunkumar Vaidya Chowk   Bandra Reclamation   Bandra (W) Mumbai ,39554230,,
144,SVKM's Dr. Bhanuben Nanavati College of Pharmacy   Mumbai ,www.bncp.ac.in,registrar@bncp.ac.in,Gate No.1   Mithibai College Campus   1st Floor   V.M. Road   Vile parle (West)   Mumbai,42332052,,
145,Dr. L. H. Hiranandani College of Pharmacy   Ulhasnagar,www.hsncbscop.com,dlhhcop@hsncb.com,C.H.M. College Campus   Opp. Ulhasnagar Railway Station Ulhasnagar Dist : Thane ,2733963,,
146,NCRD's Sterling Institute of Pharmacy   Navi Mumbai,www.ncrdsip.org,ncrdsipoffice@gmail.com,Plot 93 sector 19 Nerul(E)   Navi Mumbai ,27715308,,
147,Oriental College of Pharmacy    Navi Mumbai,www.oes.ac.in,admin.ocp@oes.ac.in,Plot No. 2  3 & 4    Sector 2   Sanpada   Navi Mumbai  Dist. Raigad,27753117,,
148,Yadavrao Tasgaonkar Institute of Pharmacy  Chandhai   Bhiv-puri Road Station   Tal-Karjat,www.tasgaonkartech.com,nanduyt@hotmail.com,Dr.N.Y.Tasgaonkar Education Complex   Village Chandhai  Near Bhivpuri Road Rly station  Tal-Karjat  (on Mumbai-Pune Rly Rout) Dist. Raigad,7350833666,,
149,Govindrao Nikam College Of Pharmacy   Sawarde,sawardepharmacy.com,sssdgpharmacy@rdiffmail.com,Sawarde (Wahalphata) Tal. Chiplun Dist. Ratnagiri ,264163,,
150,Maharashtra Education Society's H.K. College of Pharmacy   Jogeshwari   Mumbai,www.hkcp.edu.in,pharmacy.director@hkcp.edu.in,Prateeksha Nagar   New MHADA Colony   transit camp   Jogeshwari   Mumbai ,26788462,,
151,Gahlot Institute of Pharmacy   Koparkhairane   Navi Mumbai,www.gip.edu.in,gahlot_pharma@rediffmail.com,Plot No 59    Sector  14    Koparkhairane  Navi Mumbai ,27550816,,
152,Konkan Gyanpeeth Rahul Dharkar College of Pharmacy & Research Institute   Karjat   Dahivali   Karjat  Dist. Raigad,www.kgrdcp.com,p.kgrdcp@gmail.com,Vengaon Road   Dahivali   Karjat   Dist. Raigad ,220312,,
153,Vivekanand Education Society's College of Pharmacy   Chembur   Mumbai,www.ves.ac.in/pharmacy,vespharm@yahoo.co.in,Hashu Advani Memo Complex   Behind Collector Colony   Wadhawali Village   Chembur Mumbai ,61144144,,
154,Adarsh Shikshan Prasarak Mandal's Ideal College of Pharmacy & Research   Ambernath,www.idealcollege.in,principal_icpr@idealcollege.in,Bhalgaon At/Post - Dwarli   Haji Malang Road   Kalyan Rly. Station  Dist- Thane ,7718838222,,
155,Prabhodhan Shikshan Prasarak Sanshta's Indira Institute of Pharmacy   Sadavali,www.iip.ind.in,info@iip.ind.in,A/P Sadavali (Devrukh) Taluka: Sangmeshwar   Dist. Ratnagiri,261799,,
156,Aldel Education Trust's St. John Institute of Pharmacy and Research   Vevoor   Palghar,www.sjipr.in,office@sjipr.edu.in,St. John Technical Education Complex   Village Vevoor  Manor Road   Palghar (E)   ,256792,,
157,Vighnarta Trust   Shivajirao Jondhale College of Pharmacy   Shahapur,www.jondhlepharma.org,vjtsscoe@rediffmail.com,Shahpur   Opp. Asangaon Rly Station    Shahpur   Dist. Thane ,273999,,
158,Shri Rishikesh Shikshan Prasarak Mandal   D.D.Vispute College of Pharmacy & Research Center   (Devad)  New Panvel,www.visputepharmacy.info,ashish_aeish@rediffmail.com,Gat No. 104   AT Post Devad  Vichumbe   Near New Panvel   Tal-Panvel   Dist-Raigad,27462888,,
159,Padmshree Dr. D. Y. Patil College of Architecture   Navi Mumbai,www.dypatil.edu,principaldypca@gmail.com,Padmshree Dr. D. Y. Patil College of Architecture    Padmashree Dr. D. Y. Patil Vidyapeeth Campus   Sector - 7  Nerul   Navi Mumbai.Dist. Raigad,27709594,,
160,Bharati Vidyapeeth's College of Architecture   Belapur   Navi Mumbai,bvcoa.kdc4u.net,principal.bvcoa@gmail.com,Sector-8  C.B.D.  Belapur   Opp.Konkan Bhavan. Navi Mumbai  Dist. Raigad ,27571451,,
161,Mahatma Education Society's Pillais College of Architecture   New Panvel,www.pica.ac.in,pica.panvel@gmail.com,Pillais College of Architecture Dr. K.M.Vasudevan Pillai's Campus   10   Sector 16   New Panvel   Navi Mumbai Dist. Raigad,27456100,,
162,Rizvi College of Architecture  Bandra(W)   Mumbai,www.arch.rizvi.edu.in,rizviarchitecture@gmail.com,Rizvi Educational  Complex   Off Carter Road   Bandra (W)   Mumbai,26050624,,
163,Kamla Raheja Vidhyanidhi  Institute for Architecture and Environmental Studies   Mumbai,www.krvia.ac.in,admin@krvia.ac.in,Vidyanidhi Marg   J.V.P.D. Scheme   10th Road   Mumbai ,26700918,,
164,Late Baliram Hiray S.S. Trust's Dr.Baliram Hiray College of Architecture   Mumbai,www.hiray.edu.in,hirayarch@yahoo.co.in,Sr No. 351  Opp Kherwadi Police Station    Next to New English School   Govt. Colony   Bandra (E)   Mumbai,26570986,,
165,Indian Education Society's College of Architecture   Mumbai,www.ies.edu/architecture,iescoa@ies.edu,VML Vidyasankul Opp. Leelavati Hospital   791   Bandra Reclamation   Bandra (W)   Mumbai ,26561856,,
166,The Sultan Khan Educational Trust's Asmita College of Architecture,www.asmitacampus.com,asmitaarch@yahoo.com,At NH English Academy Campus   Asmita Enclave   Mira Road(E) Dist. Thane,Ext.-,,
167,L.S. Raheja School of Architecture   Bandra(E)   Mumbai,www.lsrsa.edu.in,rahejaarch@lsrsa.edu.in,Raheja Educational Complex   Kher Nagar   Opp.Colgate  Pamolive Ground   Bandra(E)   Mumbai.,61966666,,
168,Samayak Sankalp College of Architecture   Aadivali   Ambernath,www.samyaksankalpa.com,ssc_architecture@rediffmail.com,At post Aadivali   Taluka Ambernath   Dist. Thane,2350412,,
169,Mandar Education Society's Rajaram Shinde  Institute of Engineering and Technology   Pedhambe,www.mandaredusoc.org,mandar.rsiet@gmail.com,Mandar Education Society's   Rajaram Shinde Instt of Engg  Ratnagiri    415603,230003,,
170,Bharati Vidyapeeth's Institute of Technology   Navi Mumbai,www.iotmumbai.bharatividyapeeth.edu,bvitmumai@yahoo.com,Belpada   C. B. D. SECTOR - 7   OPP. Kharghar Railway Station   Navi Mumbai.,27572434,,
171,Vidya Prasarak Mandal's Polytechnic   Thane,www.vpmthane.org,vpmpoly@vpmthane.org,Chendani   Bunder Road   Jnanadweepa    College Campus Thane    400601,25364494,,
172,Agnel Polytechnic (Fr. Agnel Charities)    Vashi   Navi Mumbai,apv.ac.in,423agnel@gmail.com,Sector 9A   Vashi   Navi Mumbai,27771000,,
173,Khalapur Taluka Shikshan Prasarak Mandal's    B.L. Patil Polytechnic   Khopoli   Dist.Raigad,www.blppolykhopoli.com,ktspkpk@rediffmail.com,Near Old Police Station   Khopoli  Raigad  410203,266157,,
174,Vidyavardhini's Bhausaheb Vartak Polytechnic   Vasai  Thane,www.vartakpolytechnic.org,vbvpolytechnic@rediffmail.com,Vidyavardhini's  Campus    Vasai Road (W.Rly) Thane    401202,2334291,,
175,Smarth Samaj's S. H. Jondhale Polytechnic   Dombivli,www.jondhalepolytechnic.org,shjptech@yahoo.co.in,S. S. Jondhale Educational Complex  Shastri Nagar  Dombivli(W) Thane    421202,2491544,,
176,Sahyadri Shikshan Sanstha's Sahyadri Poly.Sawarde(Ratnagiri),www.sahyadripoly.org,0108principal@msbte.com, Technical Campus     Sawarde (Vahal Phata)   Tal:Chiplun   Ratnagiri    415606,264173,,
177,Sai Shiva Education Trust's   Muchhala Polytechnic  Thane,www.muchhalapolytechnic.com,muchhalapolytechnic@gmail.com,Sai Baba Vihar Complex   Anandnagar Thane    400601,25973939,,
178,Samarth. Samaj's. Shivajirao S. Jondhale Polytechnic   Ambernath(E)   Mumbai,www.ssjondhlepoly.org,147.principal.poly@gmail.com,Navare Nagar   B Cabin Road   Ambernath(E)  Thane    421501,2685004,,
179,Maratha Mandir's Babasaheb Gawade Institute of Technology   Mumbai,www.mmbgit.org,ajit.parab@mmbgims.com,Maratha Mandir annex  Babasaheb Gawade Chowk    Mumbai    400008,66044100,,
180,Ramrao Adik Education Society's Dr. D.Y.Patil Polytechnic   Nerul,www.dypatilpolytechnic.ac.in,dypatilpolytechnic@rediffmail.com,Dr. D.Y.Patil Vidyanagar   Sector-7   Phase-1   Nerul  New Mumbai 400706,27709592,,
181,Vidyalankar Polytechnic   Mumbai,www.vpt.edu.in,principal@vpt.edu.in,Vidyalankar Educational Campus  Antop Hill   Wadala   Vidyalankar Marg   Mumbai    400037,24161126,,
182,Kala Vidyamandir Institute of Technology (Polytechnic)   Malad(W)   Mumbai,www.kvmt.co.in,kvmitprinicipal@rediffmail.com,MHADA World Bank project   Plot  No. M3   RSC  Gaekwad Nagar   Malad(W)  Mumbai    400095,28440012,,
183,Shree Shankar Narayan Education Trust  Pravin Patil College of Diploma Engg. & Technology   Bhayinder (E) Western Rly,www.prppolytechnic.com,info@prppolytechnic.com,Navghar  Bhayander(E)   Thane    401105,28044871,,
184,Anjuman-I-Islam's Abdul Razzak Kalsekar Polytechnic  Panvel   Navi Mumbai,www.arkp.org,principal.aiarkp@gmail.com,Plot No. 3    Sector-16   Near Garden Hotel   Khanda Gaon Raigad    410206,27454670,,
185,Institute of Printing Technoloy and Research   Panvel,www.mmpiptr.com,mmpiptr@gmail.com,Plot No. 3   Sector - 11   Balbharati Marg   Khanda Colony   New Panvel   410206,27481677,,
186,Shivajirao S. Jondhle Polytechnic   Asangaon   Shahapur.Thane,www.jondhlepoly.org,vjtsscoe@rediffmail.com,Opp. Railway Station  Asangaon   Shahapur. Thane    421601,2481544,,
187,Saraswati Education Society  Saraswati Institute of Technology   Kharghar   Navi Mumbai,www.siot.edu.in,ses.siot.os.09@gmail.com,Plot No.-46/46A   Behind M.S.E.B.Sub Station   Near Utsav Chowk   Sector-5   Kharghar Navi Mumbai Raigad    410210,27743705,,
188,Saraswati Education Society   Yadavrao Tasgaonkar Polytechnic   Chandha   Nasarapur   Bhivpuri Road Railway,www.tasgaonkartech.com,nanduyt@hotmai.com,Chandha   Nasarapur   Bhivpuri Road  Near Railway Station   Taluka Karjat Raigad    410201,320596,,
189,Mahatma Education Society's   Pillai HOC Polytechnic   Rasayani,www.phcp.ac.in,pillaihocpolytechnic@mes.ac.in,at Pillai HOCL Educational Campus   Rasayani   Tal.Khalaur   Raigad.,252005,,
190,Prabhakar Patil Education Society's   Polytechnic  Raigad,www.ppespoly.edu.in,ppespoly@gmail.com,SR.No. 54a  At.Bilavale (Thakur Wadi)Post. Vavadal  Tal: Khalapur Tal.Khalapur   Dist.Raigad  410202,271046,,
191,Dnyan Prasarak Shikshan Sanstha's   Balasaheb Mhatre Polytechnic  Ambarnath,www.bmpolytechnic.com,bmpolytechnic09@gmail.com,S.No. 158-1a  160-3/1a  At Kanhor  Tal Ambarnath   Dist Thane ,2665015,,
192,Leela Education Society   G. V. Acharya Polytechnic  Shelu    Karjat,www.leelaeducationsociety.org,chitalemukundm@gmail.com,Opp.Shelu Rly.Stn. Shelu(W) Tal.Karjat   Dist. Raigad  410201,229638,,
193,Bhartiya Education/Social Charitable Trust   Sheth Shri Otarmal Sheshmal Parmar College Of Diploma   Raigad,www.osparmarpolytechnic.com,principalssosp@gmail.com,S.No.Of Land 349/350   Velshet-Nagothane  Post:Paigonda Tal:Roha   Dist:Raigad  401106,222522,,
194,Sahyadri Shikshan Sanstha's College of Pharmacy Sawarde,www.ssscops.in,pharmacycollegesawarde@yahoo.in,Savarde   Technical Campus (Wahal Phata)  Ratnagiri    415606,264106,,
195,Mandar Education Society's College of Pharmacy(Diploma)   Pedhambe,www.mandaredusoc.org,ssscopharmacy@gmail.com,At.Alore Post Pedhambe ,230011,,
196,Navyug Vidyapeeth Trust's Institute of Pharmacy  Mahad   Raigad,www.navyugedu.org,navyug.org@gmail.com,Ladawali   Mahad   Dist:Raigad-402301,222344,,
197,Mumbai Education Trust's Institute Of Pharmacy   Mumbai,www.met.edu,pharmacy_166@yahoo.co.in,Gen.Arunkumar Vaidya Chowk   Near Lilavati Hospital  Bandra Reclamation  Bandra West Mumbai    400050,39554230,,
198,National Centre For Rural Development's  Institute Of Pharmacy    Nerul   Navi Mumbai,www.ncrdiop.org,ncrd.iop@rediffmail.com,Plot No. 93   Opposite Seawoods Rly Stn   Sector 19 Nerul(East)  Navi Mumbai 400706,27715308,,
199,Saraswati Education Society's Yadavrao Tasgaonkar Institute Of Pharmacy(Diploma)   Bhivpuri   Karjat,www.tasgaonkartech.com,ytipdiploma@gmail.com,Chandhai   Near Bhivpuri Railway Station   Taluka- Karjat   Dist- Raigad 400028,320600,,
200,Adarsh Shikshan Mandal's Ideal College Of Pharmacy   Kalyan,www.idealcollege.in,principal_icp@idealcollege.in,Adarsh Vidya Nagari   21/11   Bhal Gaon   P.O. Dwarli   Haji Malang Road   Via Kalyan Ryl Stn. Thane    421301,7718838222,,
201,Bhartiya Education Soc.'s Institute of Pharmacy   Velshet   Tal. Roha   Dist. Raigad,bespharmacycollege.com,besvspcy@gamil.com,At. Velshet   Nagothen   Tal. Roha   Dist. Raigad. 402106,222848,,
202,Kiran Patel Educatin Trust's Sardar Vallabhbhai Patel Polytechnic  Mumbai,svpp.com,svpp11@rediffmail.com,I.C. Colony    Link Road Mumbai    400101,28925045,,
203,Nagrik Shikshan Sanstha's College of Pharmacy,www.nsseducation.org/pharmacycollege,nsspharmacy165@yahoo.com,NSS Educational Complex   'A' wing  3rd floor  94  Tardeo  Mumbai  400034,8976000138,,
204,Durgadevi Saraf Institute of Management Studies   Malad (W)   Mumbai,www.rset.edu.in/dsims,c.babu@dsims.org.in,23-A   24-28   S.V.Road   Malad (W)   Mumbai 400064,45207711,,
205,Bharat College of Engineering   Kanhor   Badlapur(W),www.bharatedu.co.in,info@bharatedu.co.in,Kanhor   Badlapur(w).  Tal- Ambernath. Dist. Thane ,2665001,,
206,Dilkap Research Institute Of Engineering and Management Studies   At.Mamdapur   Post- Neral   Tal- Karjat    Mumbai,www.driems.in,sumaneducationaltrust@gmail.com,Village At.Mamdapur   Post- Neral   Tal- Karjat    Dist.Raigadh,651806,,
207,Kohinoor Business School    Kurla (West)   Mumbai,www.kbs.ac.in,contact@kbs.ac.in,Kohinoor City   Kirol Road   Kurla West Off LBS Road Mumbai  400070,67887700,,
208,Prabhakar Patil Education Society's Institute of Management Studies  Alibag   Raigad,www.ppesmms.com,ppesims@gmail.com,Plot no.4&6   Survey No. 81/6 at & Post Veshvi Gondhalpada  Alibag. Raigad    402103,633272,,
209,S A V Acharya Institute of Management Studies   Shelu   Tal. Karjat ,www.savaims.org,director.3357savaims.mumbai@gmail.com,Shelu/Damat Village   Taluka Karjat   Dist Thane Raigad    410101,229669,,
210,SAS Institute of Management Studies   Boisar Dist. Thane,www.sasmba.in,deep.sasinstitute@gmail.com,next to saidham complex   Saravali Boisar   Dist. Thane 401501,329741,,
211,SASMIRA's Institute of Management Studies & Research   Worli   Mumbai,www.simsr.sasmira.org,simsr@sasmira.org,Sasmira Marg   Worli Mumbai - 400 030 Mumbai Mumbai    400030,24932047,,
212,GNVS Institute of Management   Sion-Koliwada(E)   Mumbai,www.gnvsiom.org,gnvsiom@gmail.com,Guru Tegh Bahadur Nagar  Sion Koliwada (East) GTB Nagar Rly Stn(E)   Mumbai,24013273,,
213,Sir M Visvesvaraya Institute of Management Studies & Research   Wadala   Mumbai,www.svims.com,svims1@gmail.com,7A   Wadala(W)   Wadala   Mumbai. 400031,24180560,,
214,Rajendra Mane Polytechnic   Devrukh   Tal. Sangmeshwar   Dist. Ratnagiri,www.rmp.ind.in,info@rmp.ind.in,Survey No. 50/19 & 48/10   Ambav   Devrukh   Tal. Sangmeshwar  Dist-Ratnagiri-415804,269477,,
215,VIVA College of Diploma Engg &Tech.   At. Bolinj   Virar (W) Dist. Thane,www.vivadiploma.org,contact@vivadiploma.org, At. Bolinj   Virar (W) Thane    401303,7888018019,,
216,New Jai Bharat Shikshan Prasarak Mandal’s Shantiniketan Polytechnic   New Panvel,www.shantiniketanpolytechnic.edu.in,njbspmp@gmail.com,Plot No. 27   Sector 2   New Panvel. Raigad ,27460087,,
217,Shree L.R. Tiwari College of Engineering   Mira Road   Mumbai,,,,,,
,,,,,,,
,www.slrtce.in,slrtce@rahuleducation.com,Survey no. 267   Near Commisioner's Bungalow  Kanakiya Park  Mira Road (E)Thane,28120144,,,
218,Mahatma Education Society's Pillai's HOC College of Architecture   Rasayani,www.phcoa.ac.in,phcarch@gmail.com,Pillai's HOCL Educational Campus   Rasayani  Tal- Khalapur   Via Panvel   Dist. Raigad,252005,,
219,Bharati Vidyapeeth Institute of Pharmacy   Belapur Navi Mumbai,www.bviop.in,bharatiiop@rediffmail.com,Sector 8   C.B.D. Belapur   Navi Mumbai. 400614,27572131,,
220,B.R. Harne College of Engineering & Technology   Karav   Tal-Ambernath.,www.brharnetc.edu.in,jsiddhivinayakf@gmail.com,At.Karav   Post Vangani(w)   Tal. Ambernath   Dist. Thane ,2910190,,
221,Sahyadri Institute of Management & Research   Sawarde.,www.sahyadrimba.org,simrs2011@gmail.com,Sawarde   N.H. 17   Chiplun   Dist. Ratnagiri. 415606,264025,,
222,Aditya Institute of Management Studies & Research   Borivali,www.aimsr.edu.in,info@aimsr.com,F.P. No. 661+663+667/B   TPSIII   Ram Nagar   Borivali(W)   Mumbai,61106111,,
223,Anjuman-I-Islam's Kalsekar Technical Campus   Panvel,www.aiktc.org,aiktc.newpanvel@gmail.com,Plot No.2   3 Sector - 16   Khandgaon   Thane Naka   Panvel Dist. Raigad ,27481247,,
224,Metropolitan Institute of Technology & Management   Sukhalwad   Sindhudurg.,www.mitm.ac.in,jbfmumbai@gmail.com,At Village Sukhalwad   Near Sindhudurg Railway Station   Post Oras   Tal. Malvan Dist. Sindhudurg,228553,,
225,Rustomjee Business School   Dahisar.,www.rbs.rustomjee.com,rbs@school.rustomjee.com,Rustom Irani Marg   Dahisar(W)   Mumbai   400068,28937458,,
226,Sheila Raheja School of Business Management & Research   Bandra(E)   Mumbai.,www.srbs.edu.in,admin@srbs.edu.in,Raheja Educational Complex   Khernagar   Opp. Colgate Ground   Bandra(E)   Mumbai. 400051,61966666,,
227,Vishvatmak Jangli Maharaj Ashram Trust's Vishvatmak Om Gurudev College of Engineering   Mohili-Aghai   Shahpur.,www.vishwatmakengg.com,vishwatmakengg@gmail.com,At - Mohili   Post. Aghar   Taluka Shahapur   Dist. Thane,249001,,
228,Kala Vidyalaya Trust   Kala Institute of Management Studies & Research   Kandivali,www.kimms.co.in,kimms571@gmail.com,Plot No 2  RSC 6   S.No.41(PART)  Sector 8.CTS. No.3  Village Charkop Kandivali(west)   Mumbai.  400067,29677669,,
229,G.M.Vedak Institute of Technology   Tala   Raigad.,www.gmvit.com,gmvedakit@gmail.com,At Post Taluka. Tala   Dist. Raigad ,269004,,
230,Gokhale Education Society   Katgara Polytechnic Institute   Bordi.,www.katgarapolytechnic.com,katgarapolytechnic@gmail.com,At Post Bordi   Taluka Dhahanu   Dist. Thane  401701,254040,,
231,S.K.Education Trust   Dr. Manoj A Shete College of Engineering & Technology   Kasara.,www.drmscoet.com,skeducationtrust@yahoo.com,At Post Kasara   Tal. Shahapur   Dist. Thane ,246023,,
232,St.Wilfreds Institute of Architecture   Panvel,www.stwilfredsarchitecture.com,swc.mumbai@gmail.com,Survey No 92A/A Opposite Ayush Resort   Near Shedung Tollnaka  Old Bombay Pune Highway  Panvel Dist. Raigad ,Ext.-,,
233,Lokmanya Tilak Institute of Architecture and Design Studies   Kopar Khairane   Navi Mumbai.,www.ltiads.ltjss.net,ltiads2011@gmail.com,Sector-4   Vikas Nagar   Kopar Khairane   Navi Mumbai. ,27542441,,
234,Matoshri. Ushatai Jadhav Institute of Management studies & Research Centre   Bhivandi,www.muimrc.org,muimrc@gmail.com,Dhamankar Naka   Vidyashram   Bhivandi Thane    421305,228585,,
235,Chetana'S Institute Of Management and Research   Bandra(E)   Mumbai,www.cimr.in,director@cimr.in,Survey No. 341   Govt. Colony   Bandra (E)   Mumbai   - 400051,62157800,,
236,Smt. Geeta D. Tatkare Polytechnic At Gove   Kolad,www.sgdtatkarepoly.com,sgdtatkarepoly@gmail.com,At Gove   Post Kolad   Taluka Roha   Dist. Raigad.,203020,,
237,Bunts Sangha's Uma Krishna Shetty Institute of Management Studies & Research   Kurla,www.bsm-uks.edu.in,reach.uks@gmail.com,Buntara Bhavan   Bhandaray Estate   Buntara Bhavan Marg   Kurla   Mumbai ,24059090,,
238,Universal College of Engineering  Kaman Dist. Palghar,www.ucoe.edu.in,moses.lopes@universal.edu.in,Kaman Bhiwandi Road   S.N. 146(Part)   Kaman   Vasai,69624580,,
239,VPM's Maharshi Parshuram College of Engineering   Velneshwar   Ratnagiri.,www.vpmmpcoe.org,info@vpmmpcoe.org,At Post Velneshwar   Hedvai-Guhagar Road   Guhagar  Ratnagiri.,243101,,
240,Urja Education Society's Aditya Polytechnic   Ratnagiri,www.adityapolytechnic.com,urja.aditya@gmail.com,Gat No. 493   At And Post Talawade   College Road   Near Adavali Railway Station   Taluka Lanja   Dist. Ratnagiri,9673963564,,
241,Viva Institute of Pharmacy   Virar(E),www.vivapharmacy.org,pharmacy@vivacollege.org,Shirgaon   Virar(E)   Dist. Palghar,7770002544,,
242,Ideal Institute of Technology   Wada   Dist.Thane,www.idealwada.com,idealinstituteoftechnology13@gmail.com,40   Pasheri Village   Pimplaj road   Taluka Wada   Dist.Thane. ,212144,,
243,Devi Mahalaxmi Polytechnic   Titwala   Kalyan,www.devimahalaxmipolytechnic.in,principal.dmpc@gmail.com,At Mhaskal   Near Ganesh Temple   Titwala   Kalyan. ,25948752,,
244,Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET)   Khalapur Dist Raigad,www.vishwaniketan.edu.in,mail.vishwaniketan@gmail.com,Survey No. 52 Kumbhivali   On Mumbai-Pune Expressway   Near Khalapur Toll Naka   Tal-Khalapur   Dist- Raigad,274206,,
245,Aditya College of Architecture   Borivali (W)   Mumbai,www.aditya-arch.edu.in,aditya.architecture@gmail.com,Adiya Educational Campus   R.M. Bhattad marg   Ram Nagar   Boravali (W)   Mumbai,61106111,,
246,Dalvi Education and charitable trust Maharashtra Polytechnic   Soveli   Tal. Mandangad,www.mahapoly.in,kalpesh.shinde1984@gmail.com,At Shenale   Post Soveli   Tal. Mandangad   Dist Ratnagiri,Ext.-,,
247,Yashwantrao Bhonsale Polytechnic   Charathe    Sawantwadi,www.sybespolytechnic.com,ybpolytechnic@gmail.com,At Post Charathe ( Vazarwadi)   Tal.Sawantwadi   Sindhudurg.,273535,,
248,New Horizon Institute of Technology & Management   Thane,www.nhitm.ac.in,principal@nhitm.ac.in,Anand Nagar   Kavesar   Off. Ghodbunder Road   Thane(W),25971778,,
249,Thakur School of Architecture   Kandivali,www.tsapmumbai.in,tsap@thakureducation.org,Thakur Education Campus   Shamnarayan thakur marg   Thakur Village   Kandivali(E)   Mumbai.,67308001,,
250,Ideal Institute of Architecture   Posheri   Wada,idealarchicture.com,abhigodha431@gmail.com,Gat No. 40-1 and 2   Pimpal Road   Poseri   Tal. Wada   Dist.Thane,25262144,,
251,A. P. Shah Institute of Technology   Thane,www.apsit.edu.in,principal@apsit.org.in,Survey No. 12   Opp. Hypercity Mall   Kasarvadavali   Ghodbunder Road   Thane (W),25973737,,
252,Chhartrapati Shivaji Maharaj Institute of Technology   Shedung   Panvel,www.csmit.in,csmit.mah@gmail.com,92A/1   Old Mumbai Pune Highway   Near Shedung Toll naka Village Shedung   Panvel   Dist Raigad,Ext.-,,
253,CTES College of Architecture   Chembur   Mumbai.,www.ctescoa.com,principal@ctescoa.com,N.G. Acharya Marg   Chembur   Mumbai.,25217343,,
254,Shivgiita Institute of Diploma in Pharmacy   Asangaon.,www.shivgitadpharma.org,vjtsscoe@rediffmail.com,Opp. Asangaon Railway Station   Asangaon   Dist.Thane,273999,,
255,Yashwantrao Bhonsale College of Pharmacy   A/P Charathe   Sawantwadi,www.sybespharmacy.com,ybpharmacy@gmail.com,Buidling No.2   A/P Charathe   Vazarwadi   Tal.Sawantwadi   Dist.Sindhudurg,272299,,
256,The Navkonkan Education Society's Institute of Management Studies   Chiplun,www.neims.org.in,neimschiplun@gmail.com,S.K.Patil Nagar   Mumbai Goa High way   Chiplun   Dist.Ratnagiri,253043,,
257,B.R. Harne College of Architecture   Karav   Vangani(W),www.brharnecoa.edu.in,brharnecoa@gmail.com,AT Village Karav   Vangani(West)   Dist Thane ,Ext.-,,
258,Vishwaniketan College of Architecture   Art & Design   Khalapur,www.vishwaniketan.edu.in,vcaad@vishwaniketan.edu.in,Survey No. 52   Kumbhivali Near Khalapur Toll Naka   off Mumbai-Pune   Expressway   Khalapur   Raigad,2192274206,,
259,Smt. K.L. Tiwari College of Architecture   Nalasopara   Palghar,www.skltca.in,kantiltiwari1@gmail.com,Survey No. 185   177   Near Mother Merry English School   Shri Prastha   Nalasopara   Dist Palghar,8007916355,,
260,St. Wilfred's Institute of Pharmacy   Panvel,www.swippanvel.in,swc.mumbai@gmail.com,old Mumbai-Pune Highway Near Shedoung Toll plaza   Raigad,2143239091,,
261,Shree Saraswati Institute of Pharmacy   At Post Tondavali   Kankavali,www.sespharmacy.com,shreesaraswatipharmacy@gmail.com,At Post Tondavali   Nandgaon-Ponda road   Taluka Kankavali   Dist.Sindhudurg,248589,,
262,Ideal Institute of Pharmacy   Wada,,idealpharmacy3487@gmail.com,Ideal Foundation   Wada   Taluka Wada   District Palghar,222526214,,
263,School of Environment and Architecture   Borivali,www.sea.edu.in,contact@sea.edu.in,Eksar Road   Borivali(west)   Mumbai.,Ext.-,,
